<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
1.07085,1.07129,1.06989,1.07008,3561
1.07009,1.07072,1.06995,1.07027,2851
1.07028,1.07069,1.06982,1.07026,1967
1.07026,1.07082,1.06971,1.07076,2111
1.07076,1.07157,1.06934,1.06974,6601
1.06974,1.07022,1.0679,1.06899,7959
1.06899,1.07075,1.06832,1.07065,8654
1.07065,1.07135,1.06914,1.07114,6958
1.07112,1.0721,1.07005,1.07203,5276
1.07199,1.07283,1.07124,1.07219,5445
1.07219,1.07488,1.06986,1.07356,16954
1.07357,1.07436,1.06981,1.07081,14144
1.07082,1.07298,1.07052,1.07178,9850
1.0718,1.07316,1.07143,1.07211,6741
1.07212,1.07257,1.07105,1.07174,6259
1.07174,1.0743,1.07173,1.0733,8279
1.0733,1.07496,1.0732,1.07417,6335
1.07418,1.07434,1.07338,1.07417,4885
1.0742,1.07425,1.07319,1.07324,1000
1.07335,1.07352,1.07304,1.0731,151
1.0731,1.07351,1.07305,1.07319,1813
1.0732,1.07336,1.0725,1.07268,1072
1.07268,1.07367,1.07252,1.0734,3035
1.0734,1.07394,1.07312,1.07381,2717
1.07383,1.07599,1.07375,1.07562,3724
1.07562,1.07572,1.07494,1.0751,2083
1.0751,1.07539,1.0743,1.07449,1727
1.0745,1.07464,1.0736,1.07382,2403
1.07383,1.07414,1.07307,1.07343,3199
1.07344,1.07444,1.07275,1.07375,5742
1.07375,1.07437,1.07268,1.07317,5857
1.07316,1.0733,1.06657,1.06781,9748
1.06781,1.06844,1.06197,1.06268,11737
1.06268,1.06296,1.05805,1.05876,10985
1.05875,1.05954,1.05526,1.05567,14691
1.05564,1.05586,1.05224,1.05452,15199
1.05452,1.05649,1.05295,1.05473,13280
1.05478,1.05503,1.0516,1.05338,8694
1.05338,1.05505,1.05276,1.05422,7525
1.05422,1.05629,1.05422,1.05569,7737
1.05569,1.05901,1.05473,1.05858,10524
1.05857,1.05925,1.05746,1.05802,10368
1.05802,1.05834,1.05739,1.05761,1748
1.05767,1.05783,1.05753,1.05766,276
1.05757,1.05812,1.05737,1.05783,2320
1.05783,1.05889,1.05779,1.05816,2389
1.05816,1.05982,1.05731,1.05897,5603
1.05895,1.05991,1.0586,1.05938,6063
1.05938,1.05968,1.05874,1.05924,3909
1.05923,1.05988,1.059,1.05987,2707
1.05988,1.06032,1.05975,1.06026,2274
1.06026,1.06155,1.05984,1.06072,2651
1.06073,1.06082,1.05993,1.06057,2877
1.06056,1.06282,1.05928,1.06248,7097
1.06251,1.06357,1.06123,1.06125,9092
1.06123,1.06203,1.06047,1.06174,6682
1.06173,1.0621,1.06002,1.06162,4815
