<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.13,9:00:00,1.08453,1.08489,1.08332,1.08489,6128
2023.01.13,10:00:00,1.08488,1.08645,1.08371,1.08554,8655
2023.01.13,11:00:00,1.08554,1.08603,1.08333,1.08426,6408
2023.01.13,12:00:00,1.08425,1.08518,1.08372,1.08452,4835
2023.01.13,13:00:00,1.08453,1.08458,1.08084,1.08121,6363
2023.01.13,14:00:00,1.08121,1.0816,1.08034,1.08119,5809
2023.01.13,15:00:00,1.0812,1.08203,1.07926,1.07937,8210
2023.01.13,16:00:00,1.07938,1.08202,1.07805,1.08181,9655
2023.01.13,17:00:00,1.08173,1.08388,1.08122,1.08296,10677
2023.01.13,18:00:00,1.08294,1.08336,1.08012,1.08102,7830
2023.01.13,19:00:00,1.08102,1.08318,1.08067,1.08283,4835
2023.01.13,20:00:00,1.08283,1.08346,1.08182,1.08312,3429
2023.01.13,21:00:00,1.08312,1.08353,1.08267,1.08293,3270
2023.01.13,22:00:00,1.08293,1.08358,1.08271,1.08325,3074
2023.01.13,23:00:00,1.08329,1.08345,1.08285,1.08323,1328
2023.01.16,0:00:00,1.08316,1.08347,1.08287,1.08309,858
2023.01.16,1:00:00,1.08306,1.0832,1.08193,1.08226,1901
2023.01.16,2:00:00,1.08227,1.08442,1.08208,1.08416,2819
2023.01.16,3:00:00,1.08416,1.0872,1.08405,1.0868,3911
2023.01.16,4:00:00,1.0868,1.08742,1.08656,1.08667,3429
2023.01.16,5:00:00,1.08667,1.08674,1.0859,1.086,1387
2023.01.16,6:00:00,1.086,1.08639,1.08508,1.08528,1316
2023.01.16,7:00:00,1.08531,1.08611,1.08525,1.08605,1763
2023.01.16,8:00:00,1.08603,1.08606,1.0836,1.08395,2621
2023.01.16,9:00:00,1.08395,1.08424,1.08268,1.08312,4575
2023.01.16,10:00:00,1.08307,1.08321,1.08024,1.08036,7470
2023.01.16,11:00:00,1.08035,1.08241,1.08016,1.0821,4815
2023.01.16,12:00:00,1.0821,1.08336,1.08207,1.08301,3537
2023.01.16,13:00:00,1.08301,1.08367,1.0824,1.08271,3719
2023.01.16,14:00:00,1.0827,1.08284,1.08145,1.08153,3446
2023.01.16,15:00:00,1.08152,1.08202,1.0806,1.08159,4219
2023.01.16,16:00:00,1.08159,1.08256,1.0814,1.0822,3970
2023.01.16,17:00:00,1.08221,1.08293,1.08163,1.08252,3355
2023.01.16,18:00:00,1.08253,1.08264,1.08174,1.08248,2855
2023.01.16,19:00:00,1.08247,1.08267,1.08118,1.08139,1698
2023.01.16,20:00:00,1.08138,1.08148,1.08109,1.08129,512
2023.01.16,21:00:00,1.0813,1.08194,1.08125,1.08194,444
2023.01.16,22:00:00,1.08194,1.08207,1.08175,1.08203,483
